O|U>F|FOODON_03430165|liquid, supplement form|C3853257|clear liquid supplement
O|U>F|FOODON_03306789|cheese pizza kit|C3854889|prastera kit
O|U>F|FOODON_03430165|liquid, supplement form|C5678755|nutritional supplement oral liquid [replete fiber ultrapak]
D|U>F|FOODON_03544059|sea salt|C0938430|sea salt
O|U>F|FOODON_03306347|pasta|C0460301|ener-g gf rice small pasta shells
O|U>F|FOODON_03302327|shortbread cookie|C0452671|shortbread
O|U>F|FOODON_03544205|42050 - blackcurrant flavour (efsa foodex2)|C0475656|blackcurrant flavor
O|U>F|FOODON_03310368|soy protein|C5402324|milk protein/soy protein oral suspension [glucerna 1.2 cal]
O|U>F|FOODON_00002253|soft drink food product|C0459135|general food and drink types
O|U>F|ONS_1000049|weight loss diet|C1696650|nut.tx, weight loss-control formulations
O|U>F|FOODON_00002724|nutritional powder|C0351518|pregestimil powder 454g
O|U>F|FOODON_00003443|strawberry|C1660691|boost diabetic, strawberry
D|U>F|FOODON_03307240|chocolate|C0008299|chocolate
O|U>F|FOODON_03302400|isotonic beverage|C1170827|jevity isotonic with fiber ready to hang
O|U>F|FOODON_03430162|food supplement powder|C4477125|isoleucine oral powder (gram)
O|U>F|FOODON_03317388|infant formula (liquid)|C3199310|formula, infant oral liquid [enfamil premature lipil]
O|U>F|FOODON_00003738|vanilla bean|C5827463|xymogen fitfood lean vanilla delight
D|U>F|FOODON_00002465|scone|C0452663|scone
O|U>F|FOODON_03303171|nut|C3853337|nangai nut
O|U>F|FOODON_03400872|medical food (eurofir)|C3859872|medical food oral suspension [tylactin restore]
O|U>F|FOODON_03306706|bombay duck wafer|C0453650|bombay potato curry
D|U>F|FOODON_03303508|brie cheese|C0452801|brie cheese
O|U>F|FOODON_03315916|drink powder|C5539957|liquid i.v. hydration multiplier+ immune support drink mix powder for solution (tangerine)
O|U>F|FOODON_03303130|infant formula|C0980062|s-m-a lo-iron,infant formula pwdr
O|U>F|FOODON_03540167|01670 - gluten free bread, white (efsa foodex2)|C1276944|gluten-free white mix
O|U>F|FOODON_03315666|fish (prepared)|C0311122|prepared fish
O|U>F|FOODON_03430165|liquid, supplement form|C3667193|nutritional supplement oral liquid [jevity 1 cal]
O|U>F|FOODON_03301605|cottage cheese|C0452764|cottage cheese with additions
O|U>F|FOODON_03302583|butterscotch candy|C3499990|butterscotch flavor miscell liquid (ml)
O|U>F|FOODON_03430130|food (liquid)|C3191636|medical food oral liquid [camino pro 15]
O|U>F|FOODON_03303130|infant formula|C3853280|standard infant organic formula
O|U>F|FOODON_00003879|milk chocolate bar|C1170795|ensure bar chocolate maple
O|U>F|FOODON_03305112|chocolate candy (liquid-filled)|C0546940|fresubin high energy chocolate liquid 236ml
O|U>F|FOODON_03302606|vegetable oil (artificially butter-flavor)|C1365956|vegetable flavor
O|U>F|FOODON_03306094|cola fountain syrup|C3499997|cola flavor miscell liquid (ml)
O|U>F|FOODON_03302895|cookie (with added fiber)|C3663244|pediasure with fiber enteral suspension (vanilla)
O|U>F|FOODON_00003738|vanilla bean|C0978943|nepro liquid vanilla
O|U>F|FOODON_03000037|chicory root (raw)|C5781374|chicory root
O|U>F|FOODON_03302452|gluten bread|C0594774|lifestyle gluten free high fibre bread rolls
O|U>F|FOODON_03510048|high fiber food|C0459131|high potassium food
O|U>F|FOODON_03315092|vitamin and mineral tablet|C3554890|lmthf/pyridoxine hcl/cyancobalamin, vitamin b complex oral tablet
O|U>F|FOODON_00003046|softneck garlic|C0453685|garlic mushrooms
O|U>F|FOODON_03543891|38910 - french fries from cut potato (efsa foodex2)|C0453155|thick cut french fries
O|U>F|FOODON_00002724|nutritional powder|C0351510|maxijul le powder 25kg
O|U>F|FOODON_00002831|cannelloni|C0460306|ener-g gf rice cannelloni
